sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,is_renewal_needed,is_new_development,built_year,has_ac,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_storage_room,energy_certificate,has_parking,neighborhood,district,neigh_price_m2,house_type
97.0,3,2.0,1.0,310000,0,0,1975.0,0,1,1,0,0,0,0,4.0,0,prosperidad,chamartín,4255.84,Pisos
252.0,4,4.0,2.0,1590000,1,0,1970.0,0,0,0,1,0,1,0,3.0,1,nueva españa,chamartín,5363.75,Casa o chalet
122.0,3,2.0,1.0,470000,0,0,1970.0,1,1,1,0,0,1,0,1.0,0,prosperidad,chamartín,4255.84,Pisos
308.0,5,4.0,1.0,1600000,0,0,1970.0,1,1,1,0,0,0,1,3.0,1,nueva españa,chamartín,5363.75,Pisos
44.0,1,1.0,1.0,336900,0,1,1970.0,0,1,1,0,1,0,0,3.0,0,ciudad jardín,chamartín,4572.45,Pisos
161.0,3,2.0,4.0,700000,1,0,1970.0,0,1,1,0,0,1,1,3.0,0,nueva españa,chamartín,5363.75,Pisos
251.0,0,2.0,0.0,800000,0,0,1940.0,1,0,1,0,0,0,1,6.0,1,prosperidad,chamartín,4255.84,Pisos
112.0,1,1.0,3.0,750000,0,0,1970.0,1,1,1,0,1,1,1,3.0,1,nueva españa,chamartín,5363.75,Pisos
153.0,4,2.0,1.0,650000,0,0,1970.0,1,1,1,0,0,1,0,3.0,0,bernabéu-hispanoamérica,chamartín,5170.22,Pisos
59.0,0,1.0,7.0,374000,0,0,1970.0,1,1,1,0,0,0,0,3.0,0,el viso,chamartín,6255.45,Pisos
127.0,3,2.0,2.0,796000,0,1,1970.0,0,1,0,0,1,1,1,6.0,0,ciudad jardín,chamartín,4572.45,Pisos
63.0,1,1.0,2.0,455000,0,1,1970.0,0,1,0,0,1,1,1,6.0,0,ciudad jardín,chamartín,4572.45,Pisos
63.0,1,1.0,2.0,451000,0,1,1970.0,0,1,0,0,1,1,1,6.0,0,ciudad jardín,chamartín,4572.45,Pisos
166.0,5,3.0,5.0,725000,0,0,1970.0,0,1,1,0,0,0,0,6.0,0,bernabéu-hispanoamérica,chamartín,5170.22,Pisos
99.0,3,1.0,4.0,274000,0,0,1940.0,0,0,1,0,0,1,0,4.0,0,prosperidad,chamartín,4255.84,Pisos
97.0,2,1.0,9.0,549000,0,0,1970.0,1,1,1,0,0,1,0,5.0,0,prosperidad,chamartín,4255.84,Áticos
180.0,4,3.0,7.0,549900,0,0,1987.0,1,1,1,0,1,1,0,2.0,1,castilla,chamartín,4354.35,Pisos
75.0,2,2.0,2.0,353000,0,0,1988.0,0,0,0,0,0,1,0,3.0,0,prosperidad,chamartín,4255.84,Dúplex
87.0,4,2.0,4.0,365000,1,0,1970.0,1,1,0,0,0,1,0,3.0,0,prosperidad,chamartín,4255.84,Pisos
60.0,2,1.0,8.0,412000,0,0,1970.0,1,1,1,0,0,0,0,3.0,0,nueva españa,chamartín,5363.75,Pisos
279.0,4,4.0,9.0,1695000,0,0,1970.0,1,1,1,0,0,1,0,3.0,1,nueva españa,chamartín,5363.75,Pisos
91.0,3,1.0,7.0,420000,1,0,1950.0,0,1,1,0,0,1,0,4.0,0,prosperidad,chamartín,4255.84,Pisos
160.0,4,3.0,1.0,650000,0,0,1970.0,0,1,1,0,1,0,1,3.0,0,castilla,chamartín,4354.35,Pisos
95.0,3,1.0,1.0,334900,0,0,1970.0,0,1,1,0,0,0,0,3.0,0,prosperidad,chamartín,4255.84,Pisos
66.0,1,1.0,3.0,389500,0,0,2010.0,1,1,1,0,1,0,0,3.0,0,el viso,chamartín,6255.45,Pisos
45.0,1,1.0,0.0,218400,0,0,1963.0,1,0,1,0,0,0,0,3.0,0,prosperidad,chamartín,4255.84,Pisos
39.0,0,1.0,3.0,246500,0,0,2010.0,1,1,1,0,1,0,0,3.0,0,el viso,chamartín,6255.45,Pisos
175.0,3,3.0,3.0,1450000,0,0,2019.0,1,1,1,0,1,0,1,3.0,1,bernabéu-hispanoamérica,chamartín,5170.22,Pisos
228.0,4,2.0,9.0,1200000,1,0,1970.0,0,1,1,0,0,1,1,3.0,1,bernabéu-hispanoamérica,chamartín,5170.22,Áticos
278.0,4,4.0,3.0,1500000,1,0,1970.0,1,1,1,0,0,1,1,3.0,0,el viso,chamartín,6255.45,Pisos
81.0,3,2.0,-1.0,405000,0,0,1970.0,0,1,1,0,0,0,0,3.0,0,el viso,chamartín,6255.45,Pisos
180.0,3,3.0,2.0,940000,0,0,2001.0,1,0,0,1,0,1,0,3.0,0,bernabéu-hispanoamérica,chamartín,5170.22,Casa o chalet
110.0,2,2.0,0.0,825000,1,0,1970.0,0,1,1,0,0,1,0,3.0,0,el viso,chamartín,6255.45,Pisos
118.0,3,2.0,1.0,840000,0,1,1970.0,0,1,1,0,1,0,0,3.0,0,ciudad jardín,chamartín,4572.45,Pisos
112.0,3,2.0,1.0,470000,1,0,1967.0,0,1,1,0,0,0,0,3.0,1,prosperidad,chamartín,4255.84,Pisos
149.0,4,2.0,9.0,699000,0,0,1970.0,1,1,1,0,0,1,0,3.0,0,prosperidad,chamartín,4255.84,Pisos
136.0,3,2.0,1.0,698000,0,0,1970.0,0,1,1,0,0,0,1,1.0,0,bernabéu-hispanoamérica,chamartín,5170.22,Pisos
97.0,3,1.0,7.0,425000,1,0,1970.0,0,1,1,0,0,1,1,3.0,0,prosperidad,chamartín,4255.84,Pisos
253.0,3,3.0,2.0,1195000,0,0,1988.0,1,0,0,1,0,1,0,5.0,1,bernabéu-hispanoamérica,chamartín,5170.22,Casa o chalet
326.0,6,4.0,2.0,1800000,1,0,1970.0,0,0,0,1,1,1,1,3.0,1,bernabéu-hispanoamérica,chamartín,5170.22,Casa o chalet
262.0,5,4.0,1.0,1500000,0,0,1970.0,1,1,1,0,0,1,1,3.0,0,bernabéu-hispanoamérica,chamartín,5170.22,Pisos
367.0,5,4.0,2.0,2300000,1,0,1967.0,0,1,1,0,0,1,1,3.0,1,el viso,chamartín,6255.45,Dúplex
110.0,3,1.0,0.0,395000,1,0,1970.0,1,1,1,0,0,1,0,3.0,0,bernabéu-hispanoamérica,chamartín,5170.22,Pisos
247.0,3,2.0,3.0,1850000,0,0,1970.0,0,1,1,0,1,1,1,3.0,1,nueva españa,chamartín,5363.75,Dúplex
360.0,4,5.0,2.0,1980000,0,0,1970.0,1,0,0,0,0,1,1,3.0,1,nueva españa,chamartín,5363.75,Casa o chalet
144.0,4,2.0,1.0,750000,1,0,1971.0,1,1,1,0,0,0,1,4.0,0,bernabéu-hispanoamérica,chamartín,5170.22,Pisos
166.0,3,2.0,4.0,845000,1,0,1962.0,0,1,1,0,0,1,0,3.0,0,bernabéu-hispanoamérica,chamartín,5170.22,Pisos
270.0,6,5.0,2.0,2200000,1,0,1970.0,1,0,0,0,0,0,0,1.0,1,ciudad jardín,chamartín,4572.45,Casa o chalet
71.0,0,1.0,0.0,243000,0,0,1940.0,1,0,0,0,0,0,0,6.0,0,prosperidad,chamartín,4255.84,Pisos
210.0,4,3.0,9.0,1150000,1,0,1970.0,0,1,1,0,0,1,1,3.0,0,bernabéu-hispanoamérica,chamartín,5170.22,Pisos
51.0,1,1.0,1.0,235000,0,0,1964.0,1,1,0,0,0,1,0,3.0,0,bernabéu-hispanoamérica,chamartín,5170.22,Pisos
360.0,5,4.0,2.0,1699000,1,0,1970.0,0,1,1,0,0,0,0,3.0,0,nueva españa,chamartín,5363.75,Pisos
111.0,4,2.0,8.0,560000,1,0,1971.0,0,1,1,0,0,1,0,4.0,0,ciudad jardín,chamartín,4572.45,Pisos
443.0,7,4.0,3.0,2410000,1,0,1980.0,1,1,1,0,1,1,1,3.0,1,nueva españa,chamartín,5363.75,Pisos
256.0,4,3.0,2.0,1280000,0,0,1970.0,1,1,1,0,0,1,1,3.0,1,nueva españa,chamartín,5363.75,Pisos
