Unnamed: 0,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,is_renewal_needed,is_new_development,built_year,has_ac,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_storage_room,energy_certificate,has_parking,neighborhood,district,neigh_price_m2,house_type
138,77.0,3,1.0,1.0,113500,1,0,1968.0,0,0,1,0,0,0,0,3.0,0,Los Rosales,Villaverde,1827.79,Pisos
139,85.0,3,1.0,4.0,138000,0,0,1966.0,0,0,1,0,0,1,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
140,90.0,3,2.0,2.0,225000,0,0,1970.0,1,1,1,0,1,0,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
141,133.0,2,1.0,6.0,264000,0,0,2003.0,1,1,1,0,1,1,1,5.0,1,Los Rosales,Villaverde,1827.79,Pisos
142,60.0,3,1.0,2.0,98260,0,0,1960.0,0,0,1,0,0,0,0,2.0,0,Los Rosales,Villaverde,1827.79,Pisos
143,133.0,3,3.0,7.0,275000,0,0,2004.0,0,1,1,0,1,1,1,4.0,0,Butarque,Villaverde,2197.8,Pisos
144,85.0,2,1.0,2.0,124000,0,0,1967.0,1,0,1,0,0,0,0,2.0,0,San Andrés,Villaverde,1617.18,Pisos
145,59.0,2,2.0,3.0,164513,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Los Ángeles,Villaverde,1796.68,Pisos
146,59.0,2,2.0,1.0,164416,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Los Ángeles,Villaverde,1796.68,Pisos
147,58.0,2,2.0,4.0,165435,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Los Ángeles,Villaverde,1796.68,Pisos
148,79.0,3,2.0,1.0,202629,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Los Ángeles,Villaverde,1796.68,Pisos
149,60.0,2,2.0,0.0,164242,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Los Ángeles,Villaverde,1796.68,Pisos
150,121.0,3,2.0,3.0,260000,0,0,2001.0,1,1,1,0,1,1,1,3.0,1,Los Rosales,Villaverde,1827.79,Pisos
151,126.0,3,2.0,2.0,294900,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,San Andrés,Villaverde,1617.18,Pisos
152,134.0,4,2.0,1.0,319900,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,San Andrés,Villaverde,1617.18,Pisos
153,111.0,3,2.0,1.0,259900,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,San Andrés,Villaverde,1617.18,Pisos
154,122.0,3,2.0,2.0,285900,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,San Andrés,Villaverde,1617.18,Pisos
155,125.0,3,2.0,1.0,289900,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,San Andrés,Villaverde,1617.18,Pisos
156,102.0,2,2.0,1.0,249900,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,San Andrés,Villaverde,1617.18,Pisos
157,104.0,3,2.0,1.0,273352,0,0,2020.0,1,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
158,66.0,3,1.0,1.0,104900,0,0,1970.0,0,1,1,0,0,1,0,3.0,0,San Cristóbal,Villaverde,1308.89,Pisos
159,95.0,2,1.0,2.0,155000,0,0,1965.0,0,0,1,0,0,1,0,4.0,0,San Andrés,Villaverde,1617.18,Pisos
160,74.0,3,1.0,1.0,100000,0,0,1968.0,0,0,1,0,0,0,0,3.0,0,San Cristóbal,Villaverde,1308.89,Pisos
161,97.0,2,1.0,0.0,210000,0,0,2003.0,0,1,1,0,1,1,1,4.0,1,Butarque,Villaverde,2197.8,Pisos
162,90.0,2,2.0,7.0,240000,0,0,2004.0,1,1,1,0,1,0,1,3.0,1,San Andrés,Villaverde,1617.18,Áticos
163,130.0,4,2.0,3.0,257000,0,0,1970.0,1,1,1,0,1,1,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
164,49.0,2,1.0,0.0,84000,0,0,1969.0,0,1,1,0,0,0,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
165,151.0,3,2.0,6.0,314000,0,0,1970.0,1,1,1,0,1,0,1,3.0,1,Los Rosales,Villaverde,1827.79,Pisos
166,69.0,3,1.0,4.0,107000,0,0,1961.0,0,0,1,0,0,1,1,3.0,0,San Cristóbal,Villaverde,1308.89,Pisos
167,170.0,3,2.0,8.0,325000,0,0,2010.0,1,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Áticos
168,48.0,2,1.0,1.0,89000,0,0,1971.0,0,0,1,0,0,0,0,3.0,0,Los Rosales,Villaverde,1827.79,Pisos
169,98.0,3,2.0,7.0,284900,0,0,2001.0,1,1,1,0,1,0,1,3.0,1,Los Rosales,Villaverde,1827.79,Pisos
170,50.0,1,1.0,7.0,135000,0,0,2008.0,1,1,1,0,1,0,1,3.0,1,San Andrés,Villaverde,1617.18,Pisos
171,136.0,3,2.0,5.0,230000,0,0,1999.0,0,1,1,0,0,1,0,3.0,1,San Andrés,Villaverde,1617.18,Áticos
172,80.0,3,1.0,3.0,163000,0,0,1970.0,1,1,1,0,0,0,1,3.0,0,Los Ángeles,Villaverde,1796.68,Pisos
173,95.0,3,1.0,2.0,185000,0,0,1975.0,1,0,1,0,0,1,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
174,56.0,3,1.0,5.0,80000,1,0,1965.0,0,0,1,0,0,1,0,3.0,0,Los Ángeles,Villaverde,1796.68,Pisos
175,43.0,1,1.0,0.0,84000,0,0,1971.0,0,0,1,0,0,0,0,3.0,0,Los Rosales,Villaverde,1827.79,Pisos
176,72.0,3,1.0,3.0,119900,1,0,1970.0,0,1,1,0,0,1,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
177,100.0,4,2.0,1.0,154900,0,0,1970.0,0,1,1,0,0,0,1,3.0,0,Los Ángeles,Villaverde,1796.68,Pisos
178,70.0,3,1.0,4.0,119900,1,0,1970.0,0,1,1,0,0,1,0,3.0,0,Los Ángeles,Villaverde,1796.68,Pisos
179,60.0,2,1.0,0.0,79900,0,0,1970.0,0,0,1,0,0,0,0,3.0,0,San Cristóbal,Villaverde,1308.89,Pisos
180,60.0,2,1.0,2.0,79900,0,0,1970.0,0,0,1,0,0,1,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
181,91.0,3,2.0,3.0,129900,0,0,1970.0,0,0,1,0,0,0,0,3.0,0,Los Ángeles,Villaverde,1796.68,Pisos
182,74.0,3,1.0,2.0,99900,1,0,1970.0,0,0,1,0,0,1,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
183,110.0,3,2.0,5.0,275000,0,0,1970.0,1,1,1,0,1,0,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
184,83.0,3,1.0,3.0,91500,0,0,1966.0,0,0,1,0,0,1,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
185,25.0,0,1.0,1.0,129000,0,0,1970.0,0,1,0,0,1,0,1,3.0,1,Los Rosales,Villaverde,1827.79,Pisos
186,65.0,2,1.0,0.5,86860,1,0,1982.0,0,0,1,0,0,0,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
187,58.0,3,1.0,3.0,105000,0,0,1966.0,0,0,1,0,0,0,0,3.0,0,Butarque,Villaverde,2197.8,Pisos
188,115.0,3,2.0,6.0,216000,0,0,2001.0,1,1,1,0,1,0,0,3.0,1,Butarque,Villaverde,2197.8,Pisos
189,82.0,3,1.0,4.0,120000,0,0,1960.0,1,0,1,0,0,0,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
190,83.0,3,1.0,0.0,135000,0,0,1985.0,0,1,1,0,0,0,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
191,90.0,2,1.0,0.0,212000,0,0,2002.0,1,1,1,0,1,0,1,5.0,0,Butarque,Villaverde,2197.8,Pisos
